Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051927;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;178;;178;178;178;1300;a;1;0;0;13;4;;;;;;;;;;;;;;;807;I3SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051432;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;457;;457;457;457;1300;a;1;0;4;21;4;;;;;;;;;;;;;;;672;I1NW11;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051870;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;139;;139;139;139;1300;z;1;0;4;9.5;4;;;;;;;;;;;;;;;1075;I2SW8;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051756;;Lauraceae;;Ocotea;;Ocotea porosa;2;2019.644;127;;127;127;127;1300;ah;1;0;4;12.5;4;;;;;;;;;;;;;;;1000c;I2SE6;1000a
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051933;;Myrtaceae;;Myrcia;;Myrcia oligantha;2;2019.644;277;;277;277;277;1300;z;1;0;0;14;4;;;;;;;;;;;;;;;812;I3SE5;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051709;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;143;;143;143;143;1300;a;1;0;4;10.5;4;;;;;;;;;;;;;;;973;I2NE1;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052005;;Myrtaceae;;Myrcia;;Myrcia guianensis;2;2019.644;60;;341;341;341;1300;a;1;0;2;8;4;;;;;;;;;;;;;;;874b;I3NW12;874b
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051909;;Aquifoliaceae;;Ilex;;Ilex paraguariensis;2;2019.644;264;;264;264;264;1300;a;1;0;0;15;4;;;;;;;;;;;;;;;792;I3SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051475;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;166;;166;166;166;1300;a;1;0;4;8;4;;;;;;;;;;;;;;;700;I1NE3;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2336718;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;134;;131;131;131;1300;an;1;0;2;10;4;;;;;;;;;;;;;;;946b;I2NW12;
